2_M1,TASK BEGUN,1607063691.916731
3_M2,TASK BEGUN,1607063693.3612576
2_M1,TASK END,1607063693.919093
4_M2,TASK BEGUN,1607063696.251962
3_M2,TASK END,1607063697.3648262
6_M0,TASK BEGUN,1607063698.7839003
7_M2,TASK BEGUN,1607063699.3698087
8_M1,TASK BEGUN,1607063699.7158525
4_M2,TASK END,1607063700.2528124
8_M1,TASK END,1607063700.7172925
9_M1,TASK BEGUN,1607063701.0161295
10_M0,TASK BEGUN,1607063701.036528
10_M2,TASK BEGUN,1607063701.0368931
11_M0,TASK BEGUN,1607063701.1072893
12_M0,TASK BEGUN,1607063701.2487795
6_M0,TASK END,1607063701.78478
9_M1,TASK END,1607063702.0168004
11_M0,TASK END,1607063703.1088316
7_M2,TASK END,1607063703.3728294
10_M2,TASK END,1607063704.040131
12_M0,TASK END,1607063704.2520905
13_R0,TASK BEGUN,1607063704.470082
10_M0,TASK END,1607063705.0408068
13_R0,TASK END,1607063705.4713104
14_M1,TASK BEGUN,1607063706.4334671
15_M0,TASK BEGUN,1607063706.504125
15_M3,TASK BEGUN,1607063706.5045574
16_M1,TASK BEGUN,1607063707.0795412
17_M0,TASK BEGUN,1607063707.0798793
17_M1,TASK BEGUN,1607063707.080139
17_M2,TASK BEGUN,1607063707.080369
15_M0,TASK END,1607063707.5051262
18_M1,TASK BEGUN,1607063707.6657445
17_M1,TASK END,1607063709.0807908
19_M1,TASK BEGUN,1607063709.210332
18_M1,TASK END,1607063709.6680932
20_M2,TASK BEGUN,1607063709.7460346
17_M2,TASK END,1607063710.080828
16_M1,TASK END,1607063710.0810463
17_M0,TASK END,1607063710.0810935
14_M1,TASK END,1607063710.436821
15_M3,TASK END,1607063710.508794
19_M1,TASK END,1607063712.2137847
20_M2,TASK END,1607063712.7488437
19_R0,TASK BEGUN,1607063715.8565774
22_M0,TASK BEGUN,1607063717.4526134
23_M0,TASK BEGUN,1607063717.7544806
24_M1,TASK BEGUN,1607063718.1594856
23_M0,TASK END,1607063718.7561107
19_R0,TASK END,1607063718.8599093
22_M0,TASK END,1607063719.454217
24_M1,TASK END,1607063720.1608016
25_M0,TASK BEGUN,1607063720.8765476
25_M0,TASK END,1607063721.8779235
27_M0,TASK BEGUN,1607063723.7702785
27_M3,TASK BEGUN,1607063723.771352
29_M0,TASK BEGUN,1607063725.4464533
29_M0,TASK END,1607063726.448043
30_M0,TASK BEGUN,1607063726.8873355
27_M0,TASK END,1607063727.7728508
27_M3,TASK END,1607063727.7755878
31_M0,TASK BEGUN,1607063728.323613
32_M0,TASK BEGUN,1607063728.3843315
33_M0,TASK BEGUN,1607063728.6173904
33_M2,TASK BEGUN,1607063728.6182556
33_M3,TASK BEGUN,1607063728.618576
33_M2,TASK END,1607063729.6200714
33_M3,TASK END,1607063729.6206565
31_M0,TASK END,1607063730.3247976
30_M0,TASK END,1607063730.8889096
35_M0,TASK BEGUN,1607063731.8472328
36_M0,TASK BEGUN,1607063732.069655
32_M0,TASK END,1607063732.384802
33_M0,TASK END,1607063732.620822
37_M1,TASK BEGUN,1607063732.6681895
35_M0,TASK END,1607063732.8482533
38_M2,TASK BEGUN,1607063736.026488
36_M0,TASK END,1607063736.07278
37_M1,TASK END,1607063736.672862
39_M2,TASK BEGUN,1607063737.6826622
38_M2,TASK END,1607063738.028712
39_M2,TASK END,1607063738.6841094
40_M2,TASK BEGUN,1607063741.2837343
42_M0,TASK BEGUN,1607063742.420217
40_M2,TASK END,1607063743.2848377
43_M2,TASK BEGUN,1607063743.6071472
42_M0,TASK END,1607063744.4207737
44_M1,TASK BEGUN,1607063745.9374418
43_M2,TASK END,1607063746.6088471
44_M1,TASK END,1607063746.938756
44_R0,TASK BEGUN,1607063747.846376
45_M2,TASK BEGUN,1607063748.8239517
46_M1,TASK BEGUN,1607063749.37984
44_R0,TASK END,1607063749.848709
45_M2,TASK END,1607063750.8248453
47_M0,TASK BEGUN,1607063750.8830414
46_M1,TASK END,1607063751.3808002
49_M0,TASK BEGUN,1607063752.4697309
47_M0,TASK END,1607063754.8848407
49_M0,TASK END,1607063756.472856
47_R0,TASK BEGUN,1607063761.2839036
47_R0,TASK END,1607063762.284795
45_R1,TASK BEGUN,1607063766.82527
45_R1,TASK END,1607063769.8285701
42_R0,TASK BEGUN,1607063774.3251226
42_R0,TASK END,1607063777.3285143
40_R0,TASK BEGUN,1607063782.8065526
40_R0,TASK END,1607063783.8082025
38_R0,TASK BEGUN,1607063790.2443886
38_R0,TASK END,1607063792.2469084
35_R0,TASK BEGUN,1607063798.9072978
35_R0,TASK END,1607063800.9088492
33_R0,TASK BEGUN,1607063802.305959
33_R0,TASK END,1607063803.3072543
30_R0,TASK BEGUN,1607063808.889378
30_R0,TASK END,1607063810.8917542
29_R1,TASK BEGUN,1607063813.0713348
29_R1,TASK END,1607063816.0746355
27_R0,TASK BEGUN,1607063820.406901
27_R0,TASK END,1607063822.4088295
25_R0,TASK BEGUN,1607063824.7327893
25_R0,TASK END,1607063826.735183
23_R1,TASK BEGUN,1607063827.9248843
23_R1,TASK END,1607063831.9288712
21_R1,TASK BEGUN,1607063833.207638
21_R1,TASK END,1607063836.208808
17_R1,TASK BEGUN,1607063837.4864852
17_R1,TASK END,1607063840.4888396
14_R0,TASK BEGUN,1607063845.8699164
14_R0,TASK END,1607063847.8722115
9_R0,TASK BEGUN,1607063850.1977322
9_R0,TASK END,1607063852.2001715
7_R0,TASK BEGUN,1607063856.3952277
7_R0,TASK END,1607063858.3976164
5_R0,TASK BEGUN,1607063861.5727518
5_R0,TASK END,1607063863.575073
3_R1,TASK BEGUN,1607063864.7067785
3_R1,TASK END,1607063865.708068
1_M1,TASK BEGUN,1607063869.84057
1_M1,TASK END,1607063870.8420346
1_R0,TASK BEGUN,1607063872.9945068
1_R0,TASK END,1607063875.996838
0_R0,TASK BEGUN,1607063878.0937011
0_R0,TASK END,1607063879.0950727
