task_Id,time
1_R1,2.0116193294525146
3_M2,2.0126125812530518
4_M1,3.014930248260498
4_R1,4.012269020080566
5_R0,3.0239429473876953
6_M0,4.007272481918335
6_M1,4.00328254699707
7_R0,3.0171167850494385
10_M0,1.0122504234313965
11_M3,1.016279697418213
11_M0,2.0037567615509033
11_M1,3.0050723552703857
12_M2,2.0036771297454834
12_M0,4.0073206424713135
12_M1,4.005281925201416
12_R0,3.006953239440918
13_M0,4.001293420791626
15_M0,4.001147508621216
15_R1,3.002962827682495
17_M2,1.0053093433380127
17_M3,1.0152831077575684
17_M0,2.003641366958618
17_R1,1.0053393840789795
17_R0,4.004288196563721
18_M1,3.012968063354492
18_M0,4.008450508117676
19_M0,4.011305570602417
19_R0,1.0013604164123535
20_M2,1.0013203620910645
21_M1,2.0111701488494873
21_M0,4.011819839477539
21_M2,4.0102715492248535
22_M0,3.0139691829681396
22_R0,4.017250299453735
23_M3,1.0133240222930908
23_M2,2.006629467010498
23_R0,4.009268283843994
24_M0,4.002276420593262
24_R0,3.015927791595459
25_R0,1.0152816772460938
26_M0,4.0052855014801025
27_M0,2.001678466796875
27_M2,2.007627487182617
28_M0,1.0096001625061035
28_M3,2.00964093208313
28_M2,4.016696929931641
28_R0,1.00531005859375
29_R0,4.009268760681152
