task_Id,time
0_M0,1.0054931640625
0_M1,4.006720304489136
0_R0,2.010646343231201
1_M0,3.013615846633911
1_M1,4.005649566650391
1_R0,1.0109703540802002
1_R1,3.00812029838562
2_M0,2.0129921436309814
2_M1,3.004539966583252
2_R0,2.009694814682007
2_R1,3.002610445022583
3_M0,3.015136480331421

3_R0,2.00931453704834
4_M0,2.0055289268493652
4_R0,1.0114974975585938
5_M0,1.0137462615966797
5_R0,4.012486934661865
6_M0,3.0057177543640137
6_R0,2.016881227493286
6_R1,4.006643772125244
7_M1,2.0169432163238525
7_M0,4.006799221038818
7_R0,3.005983591079712
7_R1,4.016155004501343
8_M0,2.0116939544677734
8_R0,1.0078179836273193
8_R1,3.0092661380767822
9_M1,1.0105557441711426
9_M0,4.014923334121704
9_R0,4.013446569442749
9_R1,4.0074615478515625
10_M0,1.0118684768676758
10_R0,2.0089120864868164
11_M1,1.0013492107391357
11_M0,1.016310214996338
11_M3,4.012976884841919
11_R0,3.004154920578003
11_R1,4.009999752044678
12_M1,1.0080771446228027
12_M0,2.008732318878174
12_R0,4.013482332229614
13_M1,2.0133306980133057
13_M0,3.0161097049713135
13_R1,2.0061259269714355
13_R0,4.0045154094696045
14_M0,1.0157480239868164
14_M1,2.0088858604431152
14_M3,3.0065176486968994
14_R0,4.002220392227173
15_M0,1.0042576789855957
15_R1,1.0093519687652588
15_R0,2.0121853351593018
16_M0,4.009660005569458
16_R0,2.015187978744507
17_M1,4.009290456771851
17_M0,4.014251470565796
17_R0,1.015810489654541
18_M0,1.0145153999328613
18_M1,2.0096466541290283
18_R0,2.0113296508789062
19_M3,2.0070033073425293
19_M0,3.0072214603424072
19_M1,3.0072333812713623
19_R0,2.004218339920044
19_R1,4.0072526931762695
20_M1,1.0065526962280273
20_M0,2.0019161701202393
20_R0,2.0066027641296387
21_M0,1.013336181640625
21_M3,1.0063624382019043
21_M1,4.001067399978638
21_R0,3.007642984390259
21_R1,4.002598524093628
22_M0,1.0146703720092773
22_R0,1.0039865970611572
23_M1,2.011302947998047
23_M0,2.0162930488586426
23_R0,1.0148699283599854
23_R1,2.0073609352111816
24_M0,3.0119218826293945
24_R1,2.005025863647461
24_R0,4.012937545776367
