task_Id,time
0_M0,1.0102512836456299
1_M1,2.005673885345459
1_R0,1.0098319053649902
2_M0,2.0026748180389404
2_R0,2.0140862464904785
3_M1,1.0063042640686035
3_M3,2.009617567062378
3_M0,4.008244276046753
3_R0,3.0129354000091553
5_M0,3.012935161590576
6_R0,4.003286123275757
7_M0,2.0016443729400635
8_M2,1.0033190250396729
8_M0,2.001680850982666
8_M1,4.012400150299072
12_R1,1.014326810836792
13_R1,3.0129730701446533
14_M0,3.008359909057617
14_M2,3.0149736404418945
15_M3,1.0132880210876465
15_M2,3.01592755317688
15_R0,2.0016722679138184
16_M2,3.016169548034668
16_R1,1.001344919204712
19_M1,2.0086615085601807
20_R0,1.0122907161712646
21_M3,3.0139596462249756
23_M0,2.0126185417175293
23_M1,4.014257907867432
25_M2,2.003638982772827
25_M0,4.013261556625366
25_M1,4.014258146286011
26_R0,1.005345106124878
27_M1,1.0083305835723877
28_M1,2.0039377212524414
29_M0,4.010232448577881
