1_M0,TASK BEGUN,1607019241.1611264
1_M1,TASK BEGUN,1607019241.162682
1_M3,TASK BEGUN,1607019241.163774
1_M0,TASK END,1607019243.1643517
2_M0,TASK BEGUN,1607019243.8231711
1_M1,TASK END,1607019244.165761
3_M0,TASK BEGUN,1607019244.6621377
3_M2,TASK BEGUN,1607019244.662512
1_M3,TASK END,1607019245.1657686
3_M0,TASK END,1607019245.6635323
4_M0,TASK BEGUN,1607019246.0564227
5_M1,TASK BEGUN,1607019246.5719228
6_M0,TASK BEGUN,1607019246.7637548
2_M0,TASK END,1607019246.8258412
3_M2,TASK END,1607019247.6659296
6_M0,TASK END,1607019248.7657685
6_R0,TASK BEGUN,1607019248.7920501
4_M0,TASK END,1607019249.0578628
5_M1,TASK END,1607019250.5738459
8_M0,TASK BEGUN,1607019251.3378422
8_M1,TASK BEGUN,1607019251.3382711
9_M1,TASK BEGUN,1607019251.5200305
6_R0,TASK END,1607019251.7953582
10_M0,TASK BEGUN,1607019253.433749
10_M2,TASK BEGUN,1607019253.4341483
9_M1,TASK END,1607019253.521818
11_M2,TASK BEGUN,1607019254.2875755
8_M1,TASK END,1607019255.3418212
8_M0,TASK END,1607019255.341977
12_M0,TASK BEGUN,1607019256.1764195
12_M1,TASK BEGUN,1607019256.1768806
10_M2,TASK END,1607019256.4374082
12_M1,TASK END,1607019257.1778738
11_M2,TASK END,1607019257.289807
10_M0,TASK END,1607019257.4378254
12_M0,TASK END,1607019258.1778026
14_M0,TASK BEGUN,1607019258.1875715
14_M1,TASK BEGUN,1607019258.1878633
14_M0,TASK END,1607019259.1888545
16_M0,TASK BEGUN,1607019259.288903
16_M1,TASK BEGUN,1607019259.2892985
16_M3,TASK BEGUN,1607019259.289529
19_M0,TASK BEGUN,1607019261.0579062
19_M3,TASK BEGUN,1607019261.0583913
16_M3,TASK END,1607019261.289809
20_M1,TASK BEGUN,1607019261.7150414
19_M0,TASK END,1607019262.0596237
19_M3,TASK END,1607019262.0597253
14_M1,TASK END,1607019262.1898265
16_M0,TASK END,1607019263.2933185
16_M1,TASK END,1607019263.293453
20_M1,TASK END,1607019263.7175453
20_R0,TASK BEGUN,1607019265.7286668
20_R1,TASK BEGUN,1607019265.7290347
21_M0,TASK BEGUN,1607019265.9784195
21_M2,TASK BEGUN,1607019265.978725
20_R1,TASK END,1607019266.7298362
22_M0,TASK BEGUN,1607019267.1406937
22_M1,TASK BEGUN,1607019267.141063
20_R0,TASK END,1607019268.7297554
21_M0,TASK END,1607019268.9817276
24_M0,TASK BEGUN,1607019269.6757774
24_M1,TASK BEGUN,1607019269.6761096
21_M2,TASK END,1607019269.9817712
24_M1,TASK END,1607019270.677308
22_M1,TASK END,1607019271.141874
22_M0,TASK END,1607019271.1418297
24_M0,TASK END,1607019272.6778154
24_R0,TASK BEGUN,1607019272.6991143
24_R1,TASK BEGUN,1607019272.6994784
24_R0,TASK END,1607019273.700425
24_R1,TASK END,1607019275.701837
23_R0,TASK BEGUN,1607019275.7690585
23_R1,TASK BEGUN,1607019275.769468
23_R1,TASK END,1607019278.7726293
23_R0,TASK END,1607019279.7698
22_R0,TASK BEGUN,1607019279.8267107
22_R1,TASK BEGUN,1607019279.8270383
22_R1,TASK END,1607019282.8298259
22_R0,TASK END,1607019282.8299763
21_R1,TASK BEGUN,1607019282.933282
21_R1,TASK END,1607019285.9338815
19_R0,TASK BEGUN,1607019285.975936
19_R1,TASK BEGUN,1607019285.9762647
19_R0,TASK END,1607019287.9778159
19_R1,TASK END,1607019289.9778373
18_R0,TASK BEGUN,1607019290.0399287
18_R0,TASK END,1607019294.041826
17_R0,TASK BEGUN,1607019294.078688
17_R0,TASK END,1607019297.0818155
16_R0,TASK BEGUN,1607019297.113367
16_R1,TASK BEGUN,1607019297.113798
16_R0,TASK END,1607019299.113916
16_R1,TASK END,1607019301.1178043
15_R0,TASK BEGUN,1607019301.190256
15_R0,TASK END,1607019304.1937377
14_R0,TASK BEGUN,1607019304.2509186
14_R1,TASK BEGUN,1607019304.251409
14_R0,TASK END,1607019308.2517152
14_R1,TASK END,1607019308.2537525
12_R0,TASK BEGUN,1607019308.3244717
12_R1,TASK BEGUN,1607019308.3247766
12_R1,TASK END,1607019309.3257935
12_R0,TASK END,1607019309.3257554
11_R0,TASK BEGUN,1607019309.4137704
11_R1,TASK BEGUN,1607019309.414082
11_R1,TASK END,1607019310.4153206
11_R0,TASK END,1607019312.4170518
10_R0,TASK BEGUN,1607019312.4895413
10_R1,TASK BEGUN,1607019312.4899812
10_R1,TASK END,1607019315.4914238
10_R0,TASK END,1607019316.4937592
9_R0,TASK BEGUN,1607019316.5507889
9_R1,TASK BEGUN,1607019316.551104
9_R1,TASK END,1607019318.5522149
9_R0,TASK END,1607019319.5537698
8_R0,TASK BEGUN,1607019319.5905225
8_R0,TASK END,1607019321.5928988
7_R0,TASK BEGUN,1607019321.634697
7_R0,TASK END,1607019324.6377928
5_R0,TASK BEGUN,1607019324.6546235
5_R0,TASK END,1607019326.6570163
4_R0,TASK BEGUN,1607019326.7243602
4_R0,TASK END,1607019329.7258053
3_R0,TASK BEGUN,1607019329.7931175
3_R0,TASK END,1607019332.7937963
2_R0,TASK BEGUN,1607019332.8561223
2_R1,TASK BEGUN,1607019332.8564012
2_R1,TASK END,1607019333.857653
2_R0,TASK END,1607019335.8578281
1_R0,TASK BEGUN,1607019335.868984
1_R0,TASK END,1607019339.8721242
0_M0,TASK BEGUN,1607019339.9343004
0_M1,TASK BEGUN,1607019339.934556
0_M0,TASK END,1607019340.9355724
0_M1,TASK END,1607019341.9368196
0_R0,TASK BEGUN,1607019342.963997
