task_Id,time
0_M2,4.011303424835205
0_R1,4.002319574356079
1_M2,3.0099778175354004
2_M1,1.002317190170288
3_M3,2.01460862159729
3_M0,3.0011682510375977
4_M1,4.001068353652954
5_R0,2.014356851577759
6_M1,3.008964776992798
6_R0,2.00161075592041
7_R0,1.0033173561096191
8_M1,1.002612829208374
8_R0,1.0062737464904785
9_M2,1.0023565292358398
10_M0,2.0147202014923096
10_R0,3.001004457473755
11_M1,4.008306264877319
12_M1,2.0086615085601807
13_M0,1.0138521194458008
13_M3,3.0147063732147217
14_M1,4.015254497528076
15_M0,4.006315469741821
16_M0,4.00531792640686
16_R0,3.001004695892334
17_R0,3.0029654502868652
18_M2,2.007627248764038
18_R1,4.011266708374023
19_M2,2.01560640335083
20_M0,4.015293121337891
20_R1,4.003319978713989
22_M0,3.014451742172241
22_M3,4.013256788253784
23_M1,3.002964496612549
24_M1,2.0066676139831543
25_M0,2.0036745071411133
25_R0,2.009660482406616
26_M2,4.015259504318237
27_M0,3.005955934524536
27_R0,2.0126192569732666
28_M2,1.014282464981079
29_M3,1.003312349319458
29_M0,3.012972116470337
