task_Id,time
1_M0,4.004102945327759
2_R1,1.0005948543548584
2_R0,1.0013325214385986
3_M2,1.000732421875
3_M0,2.0011606216430664
4_M0,1.001244068145752
4_R0,1.0011658668518066
3_M1,4.0008416175842285
5_M1,1.0001282691955566
4_R1,3.001467227935791
8_M0,1.0012245178222656
5_M2,3.0030016899108887
7_M0,3.0032081604003906
5_M0,4.003363847732544
9_R0,4.0003767013549805
9_R1,4.000701189041138
8_R0,1.0002317428588867
7_R0,1.0012357234954834
6_R0,1.0012319087982178
5_R0,2.000519275665283
5_R1,3.000729560852051
3_R0,1.001133918762207
1_R0,2.0022032260894775
0_M0,1.0006861686706543
0_M1,3.0023386478424072
0_M2,4.003350496292114
0_R1,2.001314878463745
0_R0,4.000497579574585
