task_Id,time
0_M1,2.0022354125976562
0_M0,3.00341796875
0_R1,1.0011436939239502
0_R0,4.00200629234314
1_M1,1.0012154579162598
1_M3,1.000781774520874
1_M0,4.0017409324646
1_R0,2.000666618347168
1_R1,3.0002121925354004
2_M0,1.0005595684051514
2_R0,2.000422239303589
2_R1,3.003291368484497
3_M0,1.0011875629425049
3_M3,1.001124620437622
3_M1,4.003179550170898
3_R0,4.0002992153167725
3_R1,4.003520488739014
4_M1,2.0021729469299316
4_M0,3.003291368484497
4_R0,2.0014657974243164
4_R1,2.0009591579437256
5_M0,1.0014314651489258
5_M3,4.002114534378052
5_M1,4.003188133239746
5_R0,1.0012693405151367
5_R1,2.001429796218872
6_M0,2.002277374267578
6_M1,3.0032427310943604
6_R0,3.0032806396484375
6_R1,3.00230073928833
7_M0,2.0022027492523193
7_M1,4.002339601516724
7_R0,1.0012896060943604
8_M0,1.0009198188781738
8_M1,3.0018982887268066
8_R0,2.002101421356201
8_R1,2.000833511352539
9_M0,2.002220869064331
9_M3,3.000730037689209
9_M1,3.0023086071014404
9_R0,2.0013129711151123
9_R1,4.000909090042114
10_M0,4.001098155975342
10_M1,4.004213809967041
10_R0,1.0013048648834229
10_R1,2.0021843910217285
11_M0,3.000492811203003
11_M3,3.0031802654266357
11_M1,4.003784894943237
11_R0,2.0012917518615723
11_R1,3.0006814002990723
12_M0,1.000908613204956
12_M3,2.002153158187866
12_M1,3.004345178604126
12_R0,3.0007801055908203
13_M1,2.0021753311157227
13_M3,2.001802921295166
13_M0,3.003178358078003
13_R0,3.0015459060668945
14_M3,3.001699686050415
14_M0,4.002764940261841
14_M1,4.00415301322937
14_R0,1.0012905597686768
