task_Id,time
0_M1,3.010105609893799
4_M1,1.0158207416534424
2_M2,2.031689167022705
3_M1,2.012253522872925
6_M1,2.0068118572235107
7_M0,1.0139834880828857
7_M1,1.0169661045074463
8_M0,1.0120866298675537
6_M0,3.0014946460723877
9_M0,2.015573024749756
5_M1,4.01278829574585
12_M0,4.007056951522827
16_M1,2.0077178478240967
15_M1,3.004063844680786
14_M0,4.01514196395874
15_M0,4.031604528427124
16_M2,4.016892910003662
19_M1,1.0153632164001465
17_M0,4.002462387084961
23_M3,1.0258386135101318
22_M0,2.0419580936431885
23_M0,2.017026662826538
24_M1,2.0122079849243164
27_M2,1.023352861404419
29_M1,1.0183289051055908
28_M0,2.012241840362549
25_M0,4.001596212387085
29_M3,3.0143678188323975
28_M1,4.005816459655762
29_R0,3.0140540599823
28_R0,4.009480237960815
27_R0,1.0062971115112305
23_R0,3.013765573501587
21_R0,3.014355182647705
20_R0,2.0130202770233154
20_R1,3.0063700675964355
19_R1,4.006543874740601
19_R0,4.015498876571655
