Job_Id,Time
0,6.357470273971558
1,12.362898349761963
2,19.488868951797485
3,27.2838876247406
4,30.41166400909424
5,37.971741914749146
6,42.14273381233215
7,45.452285289764404
8,50.457449197769165
9,58.713589906692505
10,60.06477165222168
11,61.3038866519928
12,67.08238863945007
13,73.38580060005188
14,79.11716747283936
15,86.99611926078796
16,94.02031469345093
17,102.1637179851532
18,106.62372422218323
19,113.24770140647888
20,119.38502740859985
21,126.7981960773468
22,128.51858019828796
23,131.875422000885
24,139.37761998176575
25,143.49732661247253
26,148.27038621902466
27,154.4843921661377
28,160.5043215751648
29,166.96599173545837
