task_Id,time
29473877
0_M2,3.0019214153289795
0_M2,3.0031545162200928
0_R0,1.0022799968719482
0_M2,3.0036678314208984
0_M2,3.002652168273926
1_R0,2.0021779537200928
2_M0,1.001906156539917
2_R1,2.0011003017425537
2_R1,2.0049619674682617
3_M2,4.011006116867065
8_M1,3.0029051303863525
8_M1,3.0040040016174316
12_M1,3.005361557006836
12_M1,3.0032544136047363
12_M1,3.0031373500823975
13_M2,4.002977132797241
14_M2,3.002680540084839
14_M2,3.0018012523651123
15_M3,3.001033306121826
15_M3,3.0032706260681152
14_R0,3.003389835357666
18_M2,1.00107741355896
15_R0,4.0038979053497314
10_R0,4.003797769546509
19_M1,4.00126576423645
18_R0,1.0024197101593018
18_R0,1.0050969123840332
18_R0,1.0107932090759277
18_R0,1.0014925003051758
18_R0,1.0016708374023438
18_R0,1.0020263195037842
18_R0,1.005436897277832
18_R0,1.0016188621520996
18_R0,1.0015957355499268
18_R0,1.0014443397521973
18_R0,1.000849962234497
18_R0,1.000396966934204
18_R0,1.0003635883331299
18_R0,1.0014050006866455
18_R0,1.0058073997497559
18_R0,1.0014066696166992
18_R0,1.0062577724456787
18_R0,1.0145471096038818
18_R0,1.0173122882843018
18_R0,1.001246690750122
18_R0,1.0015990734100342
18_R0,1.0059797763824463
18_R0,1.0004074573516846
18_R0,1.0030078887939453
18_R0,1.001452922821045
18_R0,1.0017046928405762
18_R0,1.0042648315429688
18_R0,1.0023627281188965
18_R0,1.005890130996704
18_R0,1.0011074542999268
18_R0,1.0141587257385254
18_R0,1.0024385452270508
18_R0,1.001338243484497
18_R0,1.0041439533233643
18_R0,1.0084302425384521
18_R0,1.0131115913391113
18_R0,1.001603126525879
18_R0,1.0120124816894531
18_R0,1.001281976699829
18_R0,1.0183265209197998
18_R0,1.0012924671173096
18_R0,1.0009574890136719
18_R0,1.0030672550201416
18_R0,1.0031192302703857
18_R0,1.0164549350738525
18_R0,1.0168392658233643
18_R0,1.0027410984039307
18_R0,1.0016822814941406
18_R0,1.0019252300262451
18_R0,1.0015075206756592
18_R0,1.0167467594146729
18_R0,1.001587152481079
18_R0,1.0014629364013672
18_R0,1.0019893646240234
18_R0,1.0011694431304932
18_R0,1.0015947818756104
18_R0,1.0028061866760254
18_R0,1.0033729076385498
18_R0,1.0032918453216553
18_R0,1.0094072818756104
18_R0,1.0137012004852295
18_R0,1.0086677074432373
18_R0,1.0022318363189697
18_R0,1.0015242099761963
18_R0,1.0067968368530273
18_R0,1.0006628036499023
18_R0,1.0016577243804932
18_R0,1.0094494819641113
18_R0,1.0059919357299805
18_R0,1.0101039409637451
18_R0,1.0086686611175537
18_R0,1.0093560218811035
18_R0,1.0150916576385498
18_R0,1.0021889209747314
18_R0,1.0016512870788574
18_R0,1.0017127990722656
18_R0,1.0056753158569336
18_R0,1.0016758441925049
18_R0,1.0021650791168213
18_R0,1.001659870147705
18_R0,1.0304694175720215
18_R0,1.0017116069793701
18_R0,1.0097486972808838
18_R0,1.0007438659667969
18_R0,1.004065990447998
18_R0,1.0029590129852295
18_R0,1.0013840198516846
18_R0,1.001791000366211
18_R0,1.0139691829681396
18_R0,1.0013377666473389
18_R0,1.0078988075256348
18_R0,1.00148606300354
18_R0,1.0010883808135986
18_R0,1.013761043548584
18_R0,1.0011940002441406
18_R0,1.0009839534759521
18_R0,1.000830888748169
18_R0,1.0036416053771973
18_R0,1.001523494720459
18_R0,1.003159523010254
18_R0,1.0053248405456543
18_R0,1.0018413066864014
18_R0,1.0017366409301758
18_R0,1.0103223323822021
18_R0,1.001396894454956
18_R0,1.0098695755004883
18_R0,1.002232551574707
18_R0,1.000856876373291
18_R0,1.0162162780761719
18_R0,1.0030708312988281
18_R0,1.0018339157104492
18_R0,1.0035712718963623
18_R0,1.0014147758483887
18_R0,1.0022778511047363
18_R0,1.0083942413330078
18_R0,1.001770257949829
18_R0,1.0069239139556885
18_R0,1.002079725265503
18_R0,1.0077431201934814
18_R0,1.000680923461914
18_R0,1.0019261837005615
18_R0,1.0061357021331787
18_R0,1.0062000751495361
18_R0,1.0005383491516113
18_R0,1.0077402591705322
18_R0,1.0012304782867432
18_R0,1.0013666152954102
18_R0,1.0105316638946533
18_R0,1.0020272731781006
18_R0,1.0015034675598145
18_R0,1.0014019012451172
18_R0,1.0014073848724365
18_R0,1.0014598369598389
18_R0,1.0013635158538818
18_R0,1.0016400814056396
18_R0,1.003150224685669
18_R0,1.0019135475158691
18_R0,1.000845193862915
18_R0,1.0013923645019531
18_R0,1.007120132446289
18_R0,1.001476764678955
18_R0,1.0041859149932861
18_R0,1.005444049835205
18_R0,1.0015361309051514
18_R0,1.0094149112701416
18_R0,1.0014336109161377
18_R0,1.0015549659729004
18_R0,1.0012052059173584
18_R0,1.001760482788086
18_R0,1.0015487670898438
18_R0,1.0170774459838867
18_R0,1.0013916492462158
18_R0,1.0014336109161377
18_R0,1.0015125274658203
18_R0,1.0006661415100098
18_R0,1.001331090927124
18_R0,1.0014050006866455
18_R0,1.000807285308838
18_R0,1.0015027523040771
18_R0,1.0128533840179443
18_R0,1.0117557048797607
